code,common_name,category,risk,description
E100,Kurkumin,renklendirici,dusuk,Zerdeçal kökenli sarı pigment
E101,Riboflavin,renklendirici,dusuk,B2 vitamini kaynaklı sarı renk
E102,Tartrazin,renklendirici,orta,Sarı yapay boya
E104,Kinolin sarısı,renklendirici,yuksek,Sentetik sarı renk verici
E110,Gün batımı sarısı,renklendirici,orta,Turuncu tonlu boya
E120,Karmin,renklendirici,orta,Böcek kökenli kırmızı pigment
E122,Azorubin,renklendirici,orta,Kırmızı/pembe renk verici boya
E123,Amarant,renklendirici,yuksek,Kırmızı tonlu yapay pigment
E124,Ponceau 4R,renklendirici,yuksek,Kırmızı yapay boya
E127,Eritrosin,renklendirici,yuksek,Pembe/kırmızı boya
E129,Allura Red,renklendirici,orta,Kırmızı gıda boyası
E131,Patent Blue V,renklendirici,orta,Mavi pigment
E132,İndigotin,renklendirici,orta,Mavi renk verici
E133,Brilliant Blue FCF,renklendirici,orta,Canlı mavi gıda boyası
E140,Klorofil,renklendirici,dusuk,Bitkisel yeşil pigment
E141,Bakır klorofilin,renklendirici,orta,Isıya dayanıklı yeşil pigment
E150a,Karamel A,renklendirici,orta,Isıtılmış şekerden elde edilen karamel rengi
E150b,Sülfitle karamel,renklendirici,orta,Koyu karamel rengi
E150c,Amonyaklı karamel,renklendirici,orta,Kola tipi kahverengi pigment
E150d,Amonyak-sülfit karamel,renklendirici,orta,Koyu karamel rengi
E151,Brilliant Black,renklendirici,yuksek,Siyah pigment
E160a,Beta-karoten,renklendirici,dusuk,Havuç kökenli turuncu pigment
E160e,Apokarotenal,renklendirici,dusuk,Turuncu pigment
E161b,Lutein,renklendirici,dusuk,Bitkisel sarı pigment
E162,Pancar kırmızısı,renklendirici,dusuk,Doğal kırmızı pigment
E170,Kalsiyum karbonat,renklendirici,dusuk,Beyaz pigment
E171,Titanyum dioksit,renklendirici,yuksek,Beyaz opaklaştırıcı pigment
E172,Demir oksitler,renklendirici,orta,Kırmızı–sarı–kahverengi pigment karışımı
E200,Sorbik asit,koruyucu,orta,Küf ve maya karşıtı koruyucu
E202,Potasyum sorbat,koruyucu,orta,Küf önleyici koruyucu
E210,Benzoik asit,koruyucu,orta,Asitli yiyeceklerde kullanılan koruyucu
E211,Sodyum benzoat,koruyucu,orta,İçecek ve soslarda koruyucu
E212,Potasyum benzoat,koruyucu,orta,İçeceklerde yaygın koruyucu
E220,Kükürt dioksit,koruyucu,yuksek,Kuru meyvelerde sülfitleyici katkı
E221,Sodyum sülfit,koruyucu,yuksek,Alerjen sülfitleyici koruyucu
E222,Sodyum bisülfit,koruyucu,yuksek,Sülfitleyici koruyucu madde
